"","X","binomial","Order","Family","family_english","English","IUCN","clutch","body_mass_median","GL","hab_breadth","diet_5cat","foraging_guild","pelagic_specialist","migrate","Threat","code","title","timing","scope","severity","score","scores","invasive"
"9",9,"Anous tenuirostris","Charadriiformes","Laridae","Gulls and terns","Lesser Noddy","LC",1,2.034548247,1.06069784,3.16227766,3,"Surface",1,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"31",31,"Catharacta maccormicki","Charadriiformes","Stercorariidae","Skuas and jaegers","South Polar Skua","LC",2,3.129390164,1.23299611,3.605551275,3,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"38",38,"Chlidonias hybrida","Charadriiformes","Laridae","Gulls and terns","Whiskered Tern","LC",2.64,1.933664411,0.995635195,2.828427125,3,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"39",39,"Chlidonias leucopterus","Charadriiformes","Laridae","Gulls and terns","White-winged Tern","LC",2.91,1.733598461,0.995635195,3.872983346,4,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"42",42,"Daption capense","Procellariiformes","Procellariidae","Petrels and shearwaters","Cape Petrel","LC",1,2.630615995,1.365487985,3.16227766,4,"Surface",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"89",89,"Hydrocoloeus minutus","Charadriiformes","Laridae","Gulls and terns","Little Gull","LC",2.875,2.07371835,1.021189299,4.242640687,5,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"95",95,"Larus atricilla","Charadriiformes","Laridae","Gulls and terns","Laughing Gull","LC",3,2.487717991,1.053078443,3,3,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"98",98,"Larus brunnicephalus","Charadriiformes","Laridae","Gulls and terns","Brown-headed Gull","LC",2.5,2.755333555,1.06069784,3,3,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"102",102,"Larus canus","Charadriiformes","Laridae","Gulls and terns","Mew Gull","LC",3,2.617147179,0.991226076,4.123105626,5,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"104",104,"Larus crassirostris","Charadriiformes","Laridae","Gulls and terns","Black-tailed Gull","LC",2,2.748091075,1.06069784,3.464101615,3,"Surface",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"105",105,"Larus delawarensis","Charadriiformes","Laridae","Gulls and terns","Ring-billed Gull","LC",3,2.713830621,1.037426498,3.605551275,3,"Ground",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"106",106,"Larus dominicanus","Charadriiformes","Laridae","Gulls and terns","Kelp Gull","LC",2.35,2.987091741,1.053078443,3.605551275,3,"Generalist",1,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"110",110,"Larus glaucescens","Charadriiformes","Laridae","Gulls and terns","Glaucous-winged Gull","LC",2.75,3.01421382,1.11058971,3.872983346,3,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"112",112,"Larus hartlaubii","Charadriiformes","Laridae","Gulls and terns","King Gull","LC",2,2.465382851,1.037426498,4.242640687,3,"Generalist",1,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"115",115,"Larus hyperboreus","Charadriiformes","Laridae","Gulls and terns","Glaucous Gull","LC",2.8,3.195143821,1.093421685,3.464101615,3,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"118",118,"Larus livens","Charadriiformes","Laridae","Gulls and terns","Yellow-footed Gull","LC",3,3.066558853,1.079181246,3,3,"Generalist",1,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"119",119,"Larus maculipennis","Charadriiformes","Laridae","Gulls and terns","Brown-hooded Gull","LC",2.57,2.530199698,1.06069784,3.31662479,4,"Ground",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"125",125,"Larus occidentalis","Charadriiformes","Laridae","Gulls and terns","Western Gull","LC",3,2.967145318,1.10720997,3.464101615,3,"Ground",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"128",128,"Larus pipixcan","Charadriiformes","Laridae","Gulls and terns","Franklin's Gull","LC",3,2.447158031,1.021189299,4.242640687,5,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"130",130,"Larus ridibundus","Charadriiformes","Laridae","Gulls and terns","Black-headed Gull","LC",3,2.45331834,0.982271233,4.795831523,4,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"131",131,"Larus schistisagus","Charadriiformes","Laridae","Gulls and terns","Slaty-backed Gull","LC",3,3.129689892,1.06069784,3.16227766,3,"Generalist",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"132",132,"Larus serranus","Charadriiformes","Laridae","Gulls and terns","Andean Gull","LC",2.5,2.679427897,1.06069784,2.236067977,3,"Generalist",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"134",134,"Larus thayeri","Charadriiformes","Laridae","Gulls and terns","Thayer's Gull","LC",2.6,2.990140091,1.06069784,3.31662479,3,"Surface",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"141",141,"Microcarbo niger","Suliformes","Phalacrocoracidae","Cormorants","Little CormorantÊ","LC",3.025209999,2.638239591,0.939519253,2.645751311,3,"Generalist",0,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"150",150,"Onychoprion anaethetus","Charadriiformes","Laridae","Gulls and terns","Bridled Tern","LC",1,2.124830149,1.053078443,3.741657387,3,"Surface",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"167",167,"Pelecanus conspicillatus","Pelecaniformes","Pelecanidae","Pelicans","Australian Pelican","LC",2,3.738681484,1.204119983,3,3,"Diver",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"169",169,"Pelecanus erythrorhynchos","Pelecaniformes","Pelecanidae","Pelicans","American White Pelican","LC",2,3.76856337,1.176091259,2.236067977,3,"Diver",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"178",178,"Phaetusa simplex","Charadriiformes","Laridae","Gulls and terns","Large-billed Tern","LC",2.4,2.374977344,1.025305865,2.645751311,3,"Generalist",0,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"203",203,"Phalacrocorax sulcirostris","Suliformes","Phalacrocoracidae","Cormorants","Little Black Cormorant","LC",4,2.998908551,0.939519253,2.828427125,3,"Diver",0,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"205",205,"Phalacrocorax varius","Suliformes","Phalacrocoracidae","Cormorants","Large Pied Cormorant","LC",3.32,3.261934613,0.939519253,3.605551275,3,"Diver",0,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"218",218,"Procelsterna cerulea","Charadriiformes","Laridae","Gulls and terns","Blue Noddy","LC",1,1.72427587,0.959041392,3.16227766,3,"Surface",1,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"283",283,"Rynchops niger","Charadriiformes","Laridae","Gulls and terns","Black Skimmer","LC",3.75,2.475111619,1.06069784,3.741657387,3,"Surface",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"294",294,"Sterna forsteri","Charadriiformes","Laridae","Gulls and terns","Forster's Tern","LC",3,2.174641193,1.041392685,2.828427125,3,"Diver",0,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"310",310,"Sternula superciliaris","Charadriiformes","Laridae","Gulls and terns","Yellow-billed Tern","LC",2.400000002,1.676236217,1.041392685,1.732050808,3,"Generalist",0,"NM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"332",332,"Thalasseus bengalensis","Charadriiformes","Laridae","Gulls and terns","Lesser Crested Tern","LC",1,2.328379603,1.041392685,3.872983346,3,"Diver",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
"338",338,"Thalassoica antarctica","Procellariiformes","Procellariidae","Petrels and shearwaters","Antarctic Petrel","LC",1,2.843833645,1.176091259,3.16227766,4,"Surface",1,"FM","NT","0","No threats to population","Ongoing","Whole (>90%)","No Impact","No Impact: 0","0",NA
